Artist,Song Title,Video ID,View Count,Thumbnail URL
ASAP Rocky & Lana Del Rey,Ridin',qytv4CeEYWk,9275977,https://i.ytimg.com/vi/qytv4CeEYWk/default.jpg
Lana Del Rey,Serial Killer,xlf9e9PnJZM,33126976,https://i.ytimg.com/vi/xlf9e9PnJZM/default.jpg
Lana Del Rey,You Can Be The Boss,wdQ_X2j9bHg,12384143,https://i.ytimg.com/vi/wdQ_X2j9bHg/default.jpg
Lana Del Rey,Hit and Run,m-zZA4MH4qY,10785502,https://i.ytimg.com/vi/m-zZA4MH4qY/default.jpg
Lana Del Rey,Queen of Disaster,hCeZsWHg7vo,19593936,https://i.ytimg.com/vi/hCeZsWHg7vo/default.jpg
Lana Del Rey ,Kinda Outta Luck,SoCZR6WeTxU,7978794,https://i.ytimg.com/vi/SoCZR6WeTxU/default.jpg
Lana Del Rey,Be My Daddy,vUYP7pSZs9o,1590686,https://i.ytimg.com/vi/vUYP7pSZs9o/default.jpg
Lana Del Rey,Because of You,fPinOuxlLzk,3834908,https://i.ytimg.com/vi/fPinOuxlLzk/default.jpg
Lana del Rey ,Kill Kill,hHS5C0RKa8A,4593790,https://i.ytimg.com/vi/hHS5C0RKa8A/default.jpg
Lana Del Rey ,Is it wrong,6SiyTs5pe5w,5952316,https://i.ytimg.com/vi/6SiyTs5pe5w/default.jpg
Lana Del Rey,She's Not Me,LKp-TJ55gAw,6248306,https://i.ytimg.com/vi/LKp-TJ55gAw/default.jpg
"Lana Del Rey, A$AP Rocky",Salvatore (Remix/Mashup),z-7g8Bceync,2187166,https://i.ytimg.com/vi/z-7g8Bceync/default.jpg
Lana Del Rey,The Ocean,GkyP3tdq3cE,737110,https://i.ytimg.com/vi/GkyP3tdq3cE/default.jpg
Lana Del Rey ,Making Out,xRQbQN7OiqM,3329422,https://i.ytimg.com/vi/xRQbQN7OiqM/default.jpg
Lana Del Rey,Mermaid Motel,SFInaimp8mM,1192846,https://i.ytimg.com/vi/SFInaimp8mM/default.jpg
Lana del Rey,Damn You,-nChgJXiO9U,3882881,https://i.ytimg.com/vi/-nChgJXiO9U/default.jpg
Lana Del Rey,Back To The Basics,I4rJJMc5UJA,1350150,https://i.ytimg.com/vi/I4rJJMc5UJA/default.jpg
Lana Del Rey,Pawn Shop Blues,56JBatEumGo,7674973,https://i.ytimg.com/vi/56JBatEumGo/default.jpg
Lana Del Rey,My Best Days,EMm7zjyrRBg,3471975,https://i.ytimg.com/vi/EMm7zjyrRBg/default.jpg
Lana Del Rey,Break My Fall,0BpPEHD99-k,3146390,https://i.ytimg.com/vi/0BpPEHD99-k/default.jpg
Lana Del Rey,Goodbye Kiss,9tvfzXNl5k4,2931297,https://i.ytimg.com/vi/9tvfzXNl5k4/default.jpg
Lana Del Rey,Backfire,IZOmN4pNu4A,6299338,https://i.ytimg.com/vi/IZOmN4pNu4A/default.jpg
Alec Benjamin ,Paper Crown,mzmjdntlRJk,12020504,https://i.ytimg.com/vi/mzmjdntlRJk/default.jpg
Alec Benjamin,Worst Day of my Life (Unreleased),d1rDyZg3o_U,5651980,https://i.ytimg.com/vi/d1rDyZg3o_U/default.jpg
Alec Benjamin,End of the Summer,ad_HCsWqDFE,5144616,https://i.ytimg.com/vi/ad_HCsWqDFE/default.jpg
Alec Benjamin ,The Wolf and the Sheep,6v-oVPROexw,5697399,https://i.ytimg.com/vi/6v-oVPROexw/default.jpg
Alec Benjamin,The Knife in my Back,J_ybtxlgnb8,7013064,https://i.ytimg.com/vi/J_ybtxlgnb8/default.jpg
Alec Benjamin,My Mother's Eyes,KVzA5Ie4J5g,3199697,https://i.ytimg.com/vi/KVzA5Ie4J5g/default.jpg
Alec Benjamin,I Built a Friend,BaWw0Qz1Qfw,1889813,https://i.ytimg.com/vi/BaWw0Qz1Qfw/default.jpg
Alec Benjamin,Pretending (Demo),1XStHaVGxd4,5439435,https://i.ytimg.com/vi/1XStHaVGxd4/default.jpg
Alec Benjamin,Last of Her Kind (Demo),_NeEOHcy4Mk,2919656,https://i.ytimg.com/vi/_NeEOHcy4Mk/default.jpg
Alec Benjamin,Use Me (Unreleased),vIPfKFNVLa4,2555667,https://i.ytimg.com/vi/vIPfKFNVLa4/default.jpg
Alec Benjamin,Settle Down,Te1cZiUp1Ic,2460949,https://i.ytimg.com/vi/Te1cZiUp1Ic/default.jpg
Alec Benjamin,Journey to the Lowest Place on Earth (Demo),PWay3BotWhk,1992041,https://i.ytimg.com/vi/PWay3BotWhk/default.jpg
Alec Benjamin ,"""Our Love is Like a Burning Garden"" (Demo)",8FQz1YS3dpo,1866688,https://i.ytimg.com/vi/8FQz1YS3dpo/default.jpg
